Location,289 km WNW of Haveluloto, Tonga,
Magnitute,6,
Time,2020-11-11 00:48:43.951000,
Location,145 km SSW of Hihifo, Tonga,
Magnitute,4.9,
Time,2020-11-10 20:54:12.155000,
Location,83 km SW of San Juan del Sur, Nicaragua,
Magnitute,4.7,
Time,2020-11-10 18:43:28.916000,
Location,16 km SE of Rasht, Tajikistan,
Magnitute,4.9,
Time,2020-11-10 14:37:41.056000,
Location,124 km NW of Neiafu, Tonga,
Magnitute,4.6,
Time,2020-11-10 10:04:43.542000,
Location,28 km E of Pamandzi, Mayotte,
Magnitute,4.8,
Time,2020-11-10 09:19:27.633000,
Location,271 km N of Fais, Micronesia,
Magnitute,4.8,
Time,2020-11-10 04:41:51.012000,
Location,269 km N of Fais, Micronesia,
Magnitute,4.8,
Time,2020-11-10 01:51:54.210000,
Location,163 km SW of Bandar Lampung, Indonesia,
Magnitute,5,
Time,2020-11-10 00:52:32.920000,
Location,25 km ESE of Jamjamāl, Iraq,
Magnitute,4.8,
Time,2020-11-09 23:18:24.736000,
Location,133 km ENE of Kokopo, Papua New Guinea,
Magnitute,5.5,
Time,2020-11-09 16:45:33.037000,
Location,62 km SE of Tondano, Indonesia,
Magnitute,4.5,
Time,2020-11-09 15:22:57.404000,
Location,Macquarie Island region,
Magnitute,4.6,
Time,2020-11-09 07:42:42.324000,
Location,266 km E of Amahai, Indonesia,
Magnitute,4.5,
Time,2020-11-09 06:11:24.175000,
Location,291 km SSW of Playa Azul, Mexico,
Magnitute,4.5,
Time,2020-11-09 03:18:20.420000,
Location,16 km S of Nabire, Indonesia,
Magnitute,4.5,
Time,2020-11-08 16:37:28.436000,
Location,Sakhalin, Russia,
Magnitute,4.6,
Time,2020-11-08 13:29:22.779000,
Location,36 km ESE of Khorugh, Tajikistan,
Magnitute,4.6,
Time,2020-11-08 12:19:02.413000,
Location,Prince Edward Islands region,
Magnitute,4.7,
Time,2020-11-08 12:08:08.615000,
Location,47 km NE of Moyobamba, Peru,
Magnitute,4.7,
Time,2020-11-08 10:46:03.443000,
Location,central Mid-Atlantic Ridge,
Magnitute,5.1,
Time,2020-11-08 06:31:14.877000,
Location,92 km SW of Iquique, Chile,
Magnitute,4.6,
Time,2020-11-08 04:56:02.875000,
Location,92 km WSW of Copiapó, Chile,
Magnitute,4.7,
Time,2020-11-08 03:34:28.882000,
Location,Izu Islands, Japan region,
Magnitute,4.6,
Time,2020-11-08 02:59:38.331000,
Location,33 km SSW of La Gomera, Guatemala,
Magnitute,4.5,
Time,2020-11-08 01:23:27.106000,
Location,133 km SW of Lata, Solomon Islands,
Magnitute,5.3,
Time,2020-11-08 00:39:03.808000,
Location,South Indian Ocean,
Magnitute,4.8,
Time,2020-11-07 22:47:31.377000,
Location,Izu Islands, Japan region,
Magnitute,5.2,
